original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
brewer's liquid yeast|brewers liquid yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewers rice|brewers rice|brewers products|grains|brewers products|grains|brewers products
brewer's rice|brewers rice|brewers products|grains|brewers products|grains|brewers products
brewers rice flour|brewers rice flour|rice products|grains|rice|grains|rice
brewers yeast|brewers yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewer's yeast|brewers yeast|yeast|fermentation products|yeast|fermentation products|yeast
broccoli|broccoli|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
broccoli sprouts|broccoli sprout|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
brocoli|broccoli|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
broth|broth|animal products|animal products|general animal products|animal products|general animal products
brown kelp|brown kelp|miscellaneous products|marine products|algae|marine products|algae
brown rice|brown rice|rice products|grains|rice|grains|rice
brown rice flour|brown rice flour|rice products|grains|rice|grains|rice
brown sugar|brown sugar|molasses and molasses products|additives|artificial additives|additives|artificial additives
brussels sprouts|brussels sprouts|miscellaneous products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
buckwheat|buckwheat|miscellaneous products|grains|buckwheat|grains|buckwheat
buffalo|buffalo meal|animal products|animal products|buffalo|animal products|buffalo
buffalo broth|buffalo broth|animal products|animal products|buffalo|animal products|buffalo
buffalo meal|buffalo meal|animal products|animal products|buffalo|animal products|buffalo
burbank potato|burbank potato|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
butternut squash|butternut squash|unknown|fruits and vegetables|vegetables|fruits and vegetables|vegetables
button mushrooms|button mushroom|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
cabbage|cabbage|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
caciumiodate|calcium iodate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calamari|calamari|marine products|marine products|fish|marine products|fish
calamari broth|calamari broth|marine products|marine products|fish|marine products|fish
calamari consommé|calamari consommé|marine products|marine products|fish|marine products|fish
calci um sulfate|calcium sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium carbon|calcium carbonate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium carbonate|calcium carbonate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium carbonate|calcium carbonate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium chloride|calcium chloride|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium citrate|calcium citrate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium d-pantothenate|d-calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium d-pantothenate (source of vitamin b5)|d-calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium gluconate|calcium gluconate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium iodate|calcium iodate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium iodate|calcium iodate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium iodate mixed tocopherols|calcium iodate (preserved with mixed tocopherols)|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium lactate|calcium lactate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium lodate|calcium iodate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium panthotenate|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium panthothenate|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium panthothenate (vitamin b5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantohtenate|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate (source of vitamin b5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate (vitamin b5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate (vitamin b-5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate (vitamin b-5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate (vitaminb5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothenate(vitamin b5)|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium pantothnate|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calcium phosphate|calcium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium propionate|calcium propionate (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
calcium propionate (a preservative)|calcium propionate (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
calcium propionate (a preservative)|calcium propionate (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
calcium propionate (a preservative)|calcium propionate (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
calcium propionate (preservative)|calcium propionate (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
calcium stearate|calcium stearate|technical additives|additives|artificial additives|additives|artificial additives
calcium sulfate|calcium sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calcium sulphate|calcium sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calciumcarbonate|calcium carbonate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calciumiodate|calcium iodate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calciumoxidate|calcium oxide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
calciumpantothenate|calcium pantothenate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
calciumsulfate|calcium sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
camelia|camelia|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
camellia|camelia|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
camellia|camelia|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
cane molasses|cane molasses|molasses and molasses products|additives|natural additives|additives|natural additives
canola meal|canola meal|other oilseed products|oilseeds|canola|oilseeds|canola
canola oil|canola oil|fats and oils|fats and oils|canola oil|fats and oils|canola oil
canola oil (mixed tocopherols used as a preservative)|canola oil (preserved with mixed tocopherols)|fats and oils|fats and oils|canola oil|fats and oils|canola oil
canola oil (preserved with mixed tocopherols & citric acid)|canola oil (preserved with mixed tocopherols and citric acid)|fats and oils|fats and oils|canola oil|fats and oils|canola oil
canola oil (preserved with mixed tocopherols- a source of vitamin e)|canola oil (preserved with mixed tocopherols)|fats and oils|fats and oils|canola oil|fats and oils|canola oil
canola oil (preserved with mixed tocopherols and citric acid)|canola oil (preserved with mixed tocopherols and citric acid)|fats and oils|fats and oils|canola oil|fats and oils|canola oil
canola oil (preserved with mixed tocopherols source of vitamin e)|canola oil (preserved with mixed tocopherols)|fats and oils|fats and oils|canola oil|fats and oils|canola oil
canola oil (preserved with mixed tocopherols)|canola oil (preserved with mixed tocopherols)|fats and oils|fats and oils|canola oil|fats and oils|canola oil
