original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
rabbit heart|rabbit heart|animal products|animal products|rabbit|animal products|rabbit
rabbit hearts|rabbit heart|animal products|animal products|rabbit|animal products|rabbit
rabbit kidney|rabbit kidney|animal products|animal products|rabbit|animal products|rabbit
rabbit kidneys|rabbit kidney|animal products|animal products|rabbit|animal products|rabbit
rabbit liver|rabbit liver|animal products|animal products|rabbit|animal products|rabbit
rabbit livers|rabbit liver|animal products|animal products|rabbit|animal products|rabbit
rabbit lung|rabbit lung|animal products|animal products|rabbit|animal products|rabbit
rabbit lungs|rabbit lung|animal products|animal products|rabbit|animal products|rabbit
rabbit meal|rabbit meal|animal products|animal products|rabbit|animal products|rabbit
rabbit meat|rabbit|animal products|animal products|rabbit|animal products|rabbit
rabbit recipe - rabbit with ground bone|rabbit (with ground bone)|animal products|animal products|rabbit|animal products|rabbit
rabbit with ground bone|rabbit (with ground bone)|animal products|animal products|rabbit|animal products|rabbit
rainbow trout|rainbow trout|marine products|marine products|fish|marine products|fish
raspberries|raspberry|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
read-sedge peat|read-sedge peat|technical additives|additives|natural additives|additives|natural additives
real chicken|chicken|animal products|animal products|chicken|animal products|chicken
red #3|fd&c red no. 3|special purpose products|colors|artificial colors|colors|artificial colors
red #40|fd&c red no. 40|special purpose products|colors|artificial colors|colors|artificial colors
red 3|fd&c red no. 3|special purpose products|colors|artificial colors|colors|artificial colors
red 3|fd&c red no. 3|special purpose products|colors|artificial colors|colors|artificial colors
red 40|fd&c red no. 40|special purpose products|colors|artificial colors|colors|artificial colors
red 40 lake|fd&c red no. 40-lake|special purpose products|colors|artificial colors|colors|artificial colors
red algae|red algae|fats and oils|marine products|algae|marine products|algae
red bell pepper|red bell pepper|special purpose products|herbs & spices|spices|herbs & spices|spices
red bigeye|red bigeye tuna|marine products|marine products|fish|marine products|fish
red delicious apples|apple|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
red iron oxide|red iron oxide|special purpose products|colors|artificial colors|colors|artificial colors
red lentils|red lentil|miscellaneous products|legumes|lentils|legumes|lentils
red meat|red meat|animal products|animal products|general animal products|animal products|general animal products
red pepper extract|red pepper extract|special purpose products|herbs & spices|spices|herbs & spices|spices
red peppers|red pepper extract|special purpose products|herbs & spices|spices|herbs & spices|spices
red rice|red rice|rice products|grains|rice|grains|rice
reduced iron|reduced iron|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
reed-sedge peat|reed-sedge peat|technical additives|additives|natural additives|additives|natural additives
ribflavin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ribo avin|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ribo˛avin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ribo˝avin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboavin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin|riboflavin|vitamins/special purpose products|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboﬂavin|riboflavin|vitamins/special purpose products|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin (b2)|riboflavin|vitamins/special purpose products|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin (source of vitamin b2)|riboflavin|vitamins/special purpose products|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin (vitamin b2)|riboflavin|vitamins/special purpose products|vitamins and minerals|vitamins|vitamins and minerals|vitamins
riboflavin supplement|riboflavin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
